,コード,株数,純資産比率
140,9005,15038700.0,0.001494317908529
141,4005,42986600.0,0.0014792692201671
142,4612,22517700.0,0.001461174559382
143,4704,3120100.0,0.0014147107704726
144,5019,6602800.0,0.0014041315072862
145,5938,9524000.0,0.0013645056114472
146,8473,7451200.0,0.0013555927296049
147,4204,12243500.0,0.0013450361310935
148,7272,7984200.0,0.0013413626613208
149,4021,3079200.0,0.0013288576814472
150,9041,5675300.0,0.0013238596803292
151,2587,4109300.0,0.0013165814717697
152,6504,3593100.0,0.001290326672397
153,9501,45795700.0,0.0012813425301688
154,2897,2244200.0,0.0012684479851914
155,1812,13727500.0,0.0012431455518356
156,9064,8120500.0,0.0012400070658193
157,4185,5584800.0,0.0012399659396457
158,9697,5661100.0,0.0012144792348011
159,7912,7032300.0,0.0011941781563606
160,4751,13771400.0,0.0011920757376488
161,7911,8858800.0,0.0011906378641927
162,4151,6840700.0,0.0011676231640247
163,5332,4147100.0,0.0011357340101612
164,3436,9534600.0,0.0011296199002744
165,1801,5086000.0,0.0011196905243134
166,6532,413400.0,0.0011140733822347
167,7951,3558400.0,0.0011111873678312
168,9766,2181000.0,0.0010951515950927
169,7261,18806500.0,0.0010911544245485
170,3064,7619300.0,0.0010749637775724
171,9602,3543000.0,0.0010687615196499
172,9001,5846800.0,0.0010673566970231
173,9007,8634800.0,0.0010656184932041
174,7747,6708700.0,0.0010642278352184
175,7259,4478600.0,0.0010572960295779
176,1802,18735300.0,0.001048410078041
177,6448,7307200.0,0.001033213191809
178,3626,5567500.0,0.0010198465108635
179,3088,3648300.0,0.0009809033657162
180,7276,3258800.0,0.0009738726636505
181,7186,32940300.0,0.000971028718481
182,2127,9591000.0,0.000966785096921
183,4922,1151100.0,0.0009662173870979
184,4062,3122500.0,0.0009633673463861
185,4183,5184300.0,0.0009632513374756
186,7752,16175100.0,0.000960704924715
187,3003,13987800.0,0.0009592112857912
188,6806,918800.0,0.0009548536975772
189,4967,1714700.0,0.0009520339472135
190,2181,5846100.0,0.0009471063258755
191,9008,3012300.0,0.0009397151749128
192,3861,24413100.0,0.0009392174826345
193,6976,2886600.0,0.0009338538051925
194,4042,8235000.0,0.0009226746057508
195,6465,1788800.0,0.0009216759610783
196,6361,2447500.0,0.0009201989162689
197,9147,1911200.0,0.0009119310876871
198,9684,2793500.0,0.0009089686916429
199,6370,3238100.0,0.0009049942544733
200,3038,4505500.0,0.0009004414902452
201,8331,19109600.0,0.0008939144136188
202,6845,3586100.0,0.0008902706471236
203,4732,6546300.0,0.000883513513742
204,6460,6069500.0,0.0008756436878434
205,7182,14246900.0,0.0008737644871381
206,4768,3248700.0,0.0008673777016641
207,7731,9105400.0,0.0008365159526901
208,6724,7340300.0,0.0008334320829819
209,4516,1512700.0,0.0008323217449929
210,5486,6518700.0,0.0008256414179414
211,4004,5221400.0,0.0008240522176534
212,7459,6194300.0,0.0008236267100851
213,2768,6499500.0,0.0008065667988182
214,9009,4040000.0,0.000806147948881
215,3769,1163600.0,0.0008059308576439
216,4091,5486400.0,0.0008007716806469
217,7181,6074800.0,0.0007986318205667
218,9048,6104000.0,0.000797895983698
219,8593,21369700.0,0.000780758672785
220,6841,5954600.0,0.0007746479729044
221,9107,1784700.0,0.0007635163136957
222,2433,7895300.0,0.0007593672854578
223,1803,17479100.0,0.0007455938145055
224,4536,11166000.0,0.0007412989991346
225,9706,2182600.0,0.00073608918417
226,3197,7636300.0,0.000735887512906
227,2371,4290000.0,0.0007349294073366
228,3289,17324100.0,0.0007324902973535
229,8355,13945300.0,0.0007324641664635
230,8369,2065300.0,0.0007300659640639
231,6028,3501700.0,0.000728258723233
232,2784,6549100.0,0.0007243737581309
233,2875,2879200.0,0.0007201730739201
234,8354,4842000.0,0.0007179067313389
235,3092,4144500.0,0.0007144037931033
236,2002,6553600.0,0.0007113645657473
237,7013,3820200.0,0.0007071748797433
238,5333,6429000.0,0.0007034610457398
239,7735,1029500.0,0.0006931187342662
240,9142,4283600.0,0.0006832699618582
241,7936,5170600.0,0.0006678116667994
242,9468,3262500.0,0.0006673049561164
243,4527,3066400.0,0.0006645395097892
244,4613,5870300.0,0.0006602927592676
245,9435,692300.0,0.0006593662306053
246,3563,3381300.0,0.0006557040026114
247,3291,5034300.0,0.0006533519039952
248,8804,5696100.0,0.0006488808612527
249,8252,4625400.0,0.0006479494049441
250,6967,1797600.0,0.0006410496883363
251,9506,14013600.0,0.0006319015785207
252,9024,7784800.0,0.0006301079902055
253,7012,4360400.0,0.0006285280456485
254,6268,3373600.0,0.0006274524322648
255,4182,5289600.0,0.0006273506067317
256,9508,12313000.0,0.0006267350943675
257,2593,1864400.0,0.0006217887742042
258,3231,3122200.0,0.0006152088986906
259,9006,7509500.0,0.0006148599975985
260,6113,9551600.0,0.0006048902823883
261,3099,10050200.0,0.0006044543636838
262,3288,1918900.0,0.0006040117748573
263,9086,1118400.0,0.0005965097612206
264,4403,1941200.0,0.0005916333274481
265,6302,3425000.0,0.000588027776755
266,2282,2282300.0,0.0005851246810933
267,1911,4674900.0,0.0005836434893167
268,6923,4163600.0,0.0005835181622207
269,4088,5383700.0,0.0005786610455712
270,5947,1108800.0,0.0005761546472973
271,4912,6854800.0,0.0005732418524788
272,5334,4526000.0,0.000565053890489
273,7550,2942100.0,0.0005641028984673
274,8303,3937000.0,0.0005601207481885
275,6481,3453900.0,0.0005595543249245
276,9513,4984900.0,0.0005563441538329
277,3405,8540500.0,0.000555793600213
278,9987,2290800.0,0.0005493902206247
279,8304,3370900.0,0.0005482130565069
280,3391,1315000.0,0.0005461474671111
281,9831,22548000.0,0.0005449811950278
282,5714,1570300.0,0.0005433190355962
283,9719,4156500.0,0.0005389117587204
284,3141,3186100.0,0.0005330827653227
285,1963,5748700.0,0.0005295709960454
286,4739,2735700.0,0.0005219659952252
287,7956,3697900.0,0.0005120158219736
288,2331,2261900.0,0.0005113808925594
289,4716,974600.0,0.0005100737235166
290,9533,2666400.0,0.0005087436961905
291,7453,6934600.0,0.0005062889538896
292,3697,326400.0,0.0005057541325145
293,8227,701300.0,0.0005054429850625
294,6471,11172700.0,0.0005017062990211
295,9504,9317600.0,0.0004969634612973
296,1808,5524800.0,0.0004910028204258
297,5711,3830500.0,0.0004863572240876
298,6849,2472600.0,0.0004848931385508
299,3401,5516300.0,0.0004781893161819
300,3635,1915600.0,0.0004743627146474
301,2811,2330600.0,0.0004730571694171
302,4061,2131300.0,0.0004632189892628
303,5076,7813600.0,0.0004631054722799
304,7211,22650200.0,0.000462575172598
305,6951,1240200.0,0.0004608623377263
306,3349,608000.0,0.0004590842630656
307,8088,1409400.0,0.0004568400293159
308,5233,3476200.0,0.0004567862436503
309,1721,2678700.0,0.0004528713629261
310,6753,6589600.0,0.0004527039291235
311,6305,2452100.0,0.0004525412668315
312,7167,27588200.0,0.0004514266382303
313,4205,5104800.0,0.0004406048773871
314,6856,1104400.0,0.0004386781864123
315,8282,5415100.0,0.0004362733825905
316,2212,4324800.0,0.0004337845652093
317,6005,2539300.0,0.0004329514369916
318,8111,1051800.0,0.0004302659634288
319,7518,2214700.0,0.000430167722774
320,9045,2472900.0,0.0004295068248511
321,4581,1348000.0,0.0004293610002454
322,9989,2267100.0,0.0004276024113344
323,3086,7025700.0,0.0004269381533687
